B00, 0
B01, 0
B02, 1
B02, Trade, 10.475, 1, B02, S03, 1
B03, 1
B03, Trade, 11.250, 1, B03, S04, 1
B04, 0
B05, 1
B05, Trade, 22.300, 2, B05, S08, 1
B06, 1
B06, Trade, 24.925, 2, B06, S02, 1
B07, 1
B07, Trade, 13.200, 2, B07, S06, 1
B08, 1
B08, Trade, 6.450, 2, B08, S00, 1
B09, 1
B09, Trade, 25.825, 2, B09, S09, 1
B10, 1
B10, Trade, 23.925, 3, S13, B10, 1
B11, 1
B11, Trade, 7.900, 2, S05, B11, 1
B12, 0
B13, 1
B13, Trade, 6.350, 3, S14, B13, 1
B14, 1
B14, Trade, 20.150, 3, B14, S07, 1
B15, 1
B15, Trade, 28.475, 3, S12, B15, 1
B16, 1
B16, Trade, 21.225, 4, S15, B16, 1
B17, 1
B17, Trade, 11.675, 3, S11, B17, 1
B18, 1
B18, Trade, 24.225, 4, S18, B18, 1
B19, 1
B19, Trade, 11.200, 3, S10, B19, 1
S00, 1
S00, Trade, 6.450, 2, B08, S00, 1
S01, 0
S02, 1
S02, Trade, 24.925, 2, B06, S02, 1
S03, 1
S03, Trade, 10.475, 1, B02, S03, 1
S04, 1
S04, Trade, 11.250, 1, B03, S04, 1
S05, 1
S05, Trade, 7.900, 2, S05, B11, 1
S06, 1
S06, Trade, 13.200, 2, B07, S06, 1
S07, 1
S07, Trade, 20.150, 3, B14, S07, 1
S08, 1
S08, Trade, 22.300, 2, B05, S08, 1
S09, 1
S09, Trade, 25.825, 2, B09, S09, 1
S10, 1
S10, Trade, 11.200, 3, S10, B19, 1
S11, 1
S11, Trade, 11.675, 3, S11, B17, 1
S12, 1
S12, Trade, 28.475, 3, S12, B15, 1
S13, 1
S13, Trade, 23.925, 3, S13, B10, 1
S14, 1
S14, Trade, 6.350, 3, S14, B13, 1
S15, 1
S15, Trade, 21.225, 4, S15, B16, 1
S16, 0
S17, 0
S18, 1
S18, Trade, 24.225, 4, S18, B18, 1
S19, 0
